match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
596,2,Kolkata Knight Riders,Rising Pune Supergiants,3,5,G Gambhir,SA Yadav,JA Morkel,0,0,0,0,0,0,1,0,1,G Gambhir,run out,SS Tiwary
596,2,Kolkata Knight Riders,Rising Pune Supergiants,18,5,AD Russell,R Sathish,NLTC Perera,0,0,0,0,0,0,0,0,0,AD Russell,caught,F du Plessis
596,2,Kolkata Knight Riders,Rising Pune Supergiants,20,2,PP Chawla,UT Yadav,NLTC Perera,0,0,0,0,0,0,0,0,0,PP Chawla,caught,SPD Smith
597,1,Mumbai Indians,Kings XI Punjab,1,2,RG Sharma,PA Patel,Sandeep Sharma,0,0,0,0,0,0,0,0,0,RG Sharma,caught,NS Naik
597,1,Mumbai Indians,Kings XI Punjab,15,3,AT Rayudu,PA Patel,AR Patel,0,0,0,0,0,0,0,0,0,AT Rayudu,caught,M Vohra
597,1,Mumbai Indians,Kings XI Punjab,19,4,PA Patel,KA Pollard,MG Johnson,0,0,0,0,0,0,0,0,0,PA Patel,caught,SE Marsh
597,1,Mumbai Indians,Kings XI Punjab,20,5,KA Pollard,HH Pandya,MM Sharma,0,0,0,0,0,0,0,0,0,KA Pollard,caught,Sandeep Sharma
597,1,Mumbai Indians,Kings XI Punjab,20,6,HH Pandya,KH Pandya,MM Sharma,0,0,0,0,0,0,0,0,0,HH Pandya,caught,DA Miller
597,2,Kings XI Punjab,Mumbai Indians,3,5,M Vijay,M Vohra,TG Southee,0,0,0,0,0,0,0,0,0,M Vijay,caught,JC Buttler
597,2,Kings XI Punjab,Mumbai Indians,5,5,M Vohra,SE Marsh,JJ Bumrah,0,0,0,0,0,0,0,0,0,M Vohra,caught,JC Buttler
597,2,Kings XI Punjab,Mumbai Indians,15,6,SE Marsh,GJ Maxwell,TG Southee,0,0,0,0,0,0,0,0,0,SE Marsh,caught,AT Rayudu
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,1,4,DA Warner,S Dhawan,AB Dinda,0,0,0,0,0,0,0,0,0,DA Warner,caught,AM Rahane
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,5,6,AP Tare,S Dhawan,AB Dinda,0,0,0,0,0,0,0,0,0,AP Tare,caught,NLTC Perera
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,6,3,EJG Morgan,S Dhawan,MR Marsh,0,0,0,0,0,0,0,0,0,EJG Morgan,caught,MS Dhoni
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,8,1,DJ Hooda,S Dhawan,R Ashwin,0,0,0,0,0,0,0,0,0,DJ Hooda,caught,MS Dhoni
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,9,1,MC Henriques,S Dhawan,MR Marsh,0,0,0,0,0,0,0,0,0,MC Henriques,caught,MS Dhoni
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,19,1,S Dhawan,Bipul Sharma,AB Dinda,0,0,0,0,0,0,0,0,0,Bipul Sharma,run out,NLTC Perera
598,1,Sunrisers Hyderabad,Rising Pune Supergiants,20,4,B Kumar,S Dhawan,NLTC Perera,0,0,0,0,0,0,0,0,0,B Kumar,caught,F du Plessis
598,2,Rising Pune Supergiants,Sunrisers Hyderabad,1,5,AM Rahane,F du Plessis,B Kumar,0,0,0,0,0,0,0,0,0,AM Rahane,caught,EJG Morgan
598,2,Rising Pune Supergiants,Sunrisers Hyderabad,10,1,F du Plessis,SPD Smith,MC Henriques,0,0,0,0,0,0,0,0,0,F du Plessis,caught,NV Ojha
598,2,Rising Pune Supergiants,Sunrisers Hyderabad,11,7,MS Dhoni,SPD Smith,A Nehra,0,0,0,0,0,0,0,0,0,MS Dhoni,caught,AP Tare
599,1,Gujarat Lions,Delhi Daredevils,12,6,SK Raina,KD Karthik,CH Morris,0,0,0,0,0,0,0,0,0,SK Raina,caught,KK Nair
599,1,Gujarat Lions,Delhi Daredevils,15,3,RA Jadeja,KD Karthik,JP Duminy,0,0,0,0,0,0,0,0,0,RA Jadeja,caught,Q de Kock
599,1,Gujarat Lions,Delhi Daredevils,17,4,Ishan Kishan,KD Karthik,Imran Tahir,0,0,0,0,0,0,0,0,0,Ishan Kishan,caught,JP Duminy
599,1,Gujarat Lions,Delhi Daredevils,17,5,KD Karthik,DJ Bravo,Imran Tahir,0,0,0,0,0,0,0,0,0,KD Karthik,caught,JP Duminy
599,2,Delhi Daredevils,Gujarat Lions,2,3,SV Samson,Q de Kock,DS Kulkarni,0,0,0,0,0,0,0,0,0,SV Samson,caught,JP Faulkner
599,2,Delhi Daredevils,Gujarat Lions,4,4,Q de Kock,KK Nair,DS Kulkarni,0,0,0,0,0,0,0,0,0,Q de Kock,caught,SK Raina
599,2,Delhi Daredevils,Gujarat Lions,4,6,KK Nair,JP Duminy,DS Kulkarni,0,0,0,0,0,0,0,0,0,KK Nair,caught,PV Tambe
599,2,Delhi Daredevils,Gujarat Lions,11,4,RR Pant,JP Duminy,JP Faulkner,0,0,0,0,0,0,0,0,0,RR Pant,caught,P Kumar
600,1,Kolkata Knight Riders,Mumbai Indians,8,4,RV Uthappa,G Gambhir,Harbhajan Singh,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,KA Pollard
600,1,Kolkata Knight Riders,Mumbai Indians,9,5,Shakib Al Hasan,G Gambhir,HH Pandya,0,0,0,0,0,0,0,0,0,Shakib Al Hasan,caught,PA Patel
600,1,Kolkata Knight Riders,Mumbai Indians,14,5,G Gambhir,SA Yadav,MJ McClenaghan,0,0,0,0,0,0,0,0,0,G Gambhir,caught,KA Pollard
600,2,Mumbai Indians,Kolkata Knight Riders,2,1,PA Patel,RG Sharma,UT Yadav,0,0,0,0,0,0,0,0,0,PA Patel,caught,YK Pathan
600,2,Mumbai Indians,Kolkata Knight Riders,7,5,AT Rayudu,RG Sharma,Shakib Al Hasan,0,0,0,0,0,0,0,0,0,AT Rayudu,caught,SA Yadav
600,2,Mumbai Indians,Kolkata Knight Riders,13,6,JC Buttler,RG Sharma,SP Narine,0,0,0,0,0,0,0,0,0,JC Buttler,caught,CA Lynn
601,1,Rising Pune Supergiants,Gujarat Lions,3,3,AM Rahane,SS Tiwary,P Kumar,0,0,0,0,0,0,0,0,0,SS Tiwary,run out,SK Raina
601,1,Rising Pune Supergiants,Gujarat Lions,14,5,SPD Smith,AM Rahane,DJ Bravo,0,0,0,0,0,0,0,0,0,AM Rahane,run out,DJ Bravo
601,2,Gujarat Lions,Rising Pune Supergiants,9,1,BB McCullum,DR Smith,R Bhatia,0,0,0,0,0,0,0,0,0,BB McCullum,caught,JA Morkel
601,2,Gujarat Lions,Rising Pune Supergiants,17,3,KD Karthik,SK Raina,AB Dinda,0,0,0,0,0,0,0,0,0,KD Karthik,caught,AM Rahane
601,2,Gujarat Lions,Rising Pune Supergiants,19,2,DJ Bravo,SK Raina,AB Dinda,0,0,0,0,0,0,0,0,0,DJ Bravo,caught,MS Dhoni
601,2,Gujarat Lions,Rising Pune Supergiants,19,3,RA Jadeja,SK Raina,AB Dinda,0,0,0,0,0,0,0,0,0,RA Jadeja,run out,MS Dhoni
601,2,Gujarat Lions,Rising Pune Supergiants,20,5,Ishan Kishan,JP Faulkner,NLTC Perera,0,0,0,0,0,0,0,0,0,Ishan Kishan,run out,SS Tiwary
602,1,Delhi Daredevils,Kolkata Knight Riders,1,5,Q de Kock,SV Samson,AD Russell,0,0,0,0,0,0,0,0,0,Q de Kock,caught,GB Hogg
602,1,Delhi Daredevils,Kolkata Knight Riders,20,2,CR Brathwaite,RR Pant,AD Russell,0,0,0,0,0,0,0,0,0,CR Brathwaite,caught,SP Narine
602,1,Delhi Daredevils,Kolkata Knight Riders,20,6,RR Pant,Mohammed Shami,AD Russell,0,0,0,0,0,0,1,0,1,RR Pant,run out,SA Yadav
602,2,Kolkata Knight Riders,Delhi Daredevils,3,6,G Gambhir,RV Uthappa,Z Khan,0,0,0,0,0,0,0,0,0,G Gambhir,caught,SS Iyer
602,2,Kolkata Knight Riders,Delhi Daredevils,8,5,YK Pathan,RV Uthappa,CR Brathwaite,0,0,0,0,0,0,0,0,0,YK Pathan,caught,A Mishra
602,2,Kolkata Knight Riders,Delhi Daredevils,12,2,SA Yadav,RV Uthappa,CR Brathwaite,0,0,0,0,0,0,0,0,0,SA Yadav,caught,SS Iyer
602,2,Kolkata Knight Riders,Delhi Daredevils,14,3,R Sathish,RV Uthappa,CR Brathwaite,0,0,0,0,0,0,0,0,0,R Sathish,caught,CH Morris
602,2,Kolkata Knight Riders,Delhi Daredevils,18,2,JO Holder,RV Uthappa,CH Morris,0,0,0,0,0,0,0,0,0,JO Holder,run out,CH Morris
602,2,Kolkata Knight Riders,Delhi Daredevils,18,4,RV Uthappa,UT Yadav,CH Morris,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,KK Nair
602,2,Kolkata Knight Riders,Delhi Daredevils,19,3,UT Yadav,SP Narine,Z Khan,0,0,0,0,0,0,1,0,1,SP Narine,run out,SS Iyer
602,2,Kolkata Knight Riders,Delhi Daredevils,19,4,UT Yadav,GB Hogg,Z Khan,0,0,0,0,0,0,0,0,0,UT Yadav,caught,CH Morris
603,1,Sunrisers Hyderabad,Royal Challengers Bangalore,16,5,DA Warner,KS Williamson,T Shamsi,0,0,0,0,0,0,0,0,0,DA Warner,caught,AB de Villiers
603,1,Sunrisers Hyderabad,Royal Challengers Bangalore,17,5,KS Williamson,MC Henriques,SR Watson,0,0,0,0,0,0,0,0,0,KS Williamson,caught,KL Rahul
603,1,Sunrisers Hyderabad,Royal Challengers Bangalore,18,2,NV Ojha,MC Henriques,KW Richardson,0,0,0,0,0,0,0,0,0,NV Ojha,caught,AB de Villiers
603,1,Sunrisers Hyderabad,Royal Challengers Bangalore,20,2,DJ Hooda,MC Henriques,SR Watson,0,0,0,0,0,0,1,0,1,DJ Hooda,run out,KW Richardson
603,2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,2,V Kohli,KL Rahul,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,V Kohli,caught,A Ashish Reddy
603,2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,6,KL Rahul,AB de Villiers,MC Henriques,0,0,0,0,0,0,0,0,0,KL Rahul,caught,NV Ojha
603,2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,2,SR Watson,AB de Villiers,MC Henriques,0,0,0,0,0,0,1,0,1,SR Watson,run out,BB Sran
603,2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,5,AB de Villiers,Sachin Baby,BB Sran,0,0,0,0,0,0,0,0,0,AB de Villiers,caught,KS Williamson
603,2,Royal Challengers Bangalore,Sunrisers Hyderabad,18,1,Sachin Baby,KM Jadhav,A Nehra,0,0,0,0,0,0,0,0,0,Sachin Baby,caught,S Dhawan
603,2,Royal Challengers Bangalore,Sunrisers Hyderabad,20,6,Parvez Rasool,KM Jadhav,B Kumar,0,0,0,0,0,0,0,0,0,Parvez Rasool,caught,MC Henriques
604,1,Kings XI Punjab,Gujarat Lions,7,4,MP Stoinis,M Vijay,RA Jadeja,0,0,0,0,0,0,0,0,0,MP Stoinis,stumped,KD Karthik
604,1,Kings XI Punjab,Gujarat Lions,8,5,SE Marsh,M Vijay,S Kaushik,0,0,0,0,0,0,0,0,0,SE Marsh,caught,SK Raina
604,1,Kings XI Punjab,Gujarat Lions,8,6,GJ Maxwell,M Vijay,S Kaushik,0,0,0,0,0,0,0,0,0,GJ Maxwell,caught,KD Karthik
604,1,Kings XI Punjab,Gujarat Lions,9,5,Gurkeerat Singh,M Vijay,RA Jadeja,0,0,0,0,0,0,0,0,0,Gurkeerat Singh,run out,JP Faulkner
604,1,Kings XI Punjab,Gujarat Lions,14,1,M Vijay,DA Miller,S Kaushik,0,0,0,0,0,0,0,0,0,M Vijay,caught,DJ Bravo
604,1,Kings XI Punjab,Gujarat Lions,18,2,DA Miller,WP Saha,DS Kulkarni,0,0,0,0,0,0,0,0,0,DA Miller,caught,DR Smith
604,1,Kings XI Punjab,Gujarat Lions,19,2,AR Patel,WP Saha,DJ Bravo,0,0,0,0,0,0,0,0,0,AR Patel,caught,Ishan Kishan
604,2,Gujarat Lions,Kings XI Punjab,7,4,DR Smith,KD Karthik,AR Patel,0,0,0,0,0,0,0,0,0,DR Smith,caught,Gurkeerat Singh
604,2,Gujarat Lions,Kings XI Punjab,11,1,RA Jadeja,Ishan Kishan,AR Patel,0,0,0,0,0,0,0,0,0,RA Jadeja,caught,WP Saha
604,2,Gujarat Lions,Kings XI Punjab,15,5,Ishan Kishan,JP Faulkner,MP Stoinis,0,0,0,0,0,0,0,0,0,Ishan Kishan,run out,GJ Maxwell
604,2,Gujarat Lions,Kings XI Punjab,19,6,P Kumar,JP Faulkner,MM Sharma,0,0,0,0,0,0,0,0,0,P Kumar,caught,KC Cariappa
604,2,Gujarat Lions,Kings XI Punjab,20,2,JP Faulkner,DS Kulkarni,Sandeep Sharma,0,0,0,0,0,0,0,0,0,JP Faulkner,caught,DA Miller
605,1,Rising Pune Supergiants,Mumbai Indians,2,5,AM Rahane,SS Tiwary,MJ McClenaghan,0,0,0,0,0,0,0,0,0,AM Rahane,caught,KH Pandya
605,1,Rising Pune Supergiants,Mumbai Indians,10,2,SPD Smith,SS Tiwary,JJ Bumrah,0,0,0,0,0,0,0,0,0,SPD Smith,caught,PA Patel
605,1,Rising Pune Supergiants,Mumbai Indians,13,1,PSP Handscomb,SS Tiwary,Harbhajan Singh,0,0,0,0,0,0,0,0,0,PSP Handscomb,caught,JC Buttler
605,1,Rising Pune Supergiants,Mumbai Indians,18,3,SS Tiwary,MS Dhoni,JJ Bumrah,0,0,0,0,0,0,0,0,0,SS Tiwary,caught,HH Pandya
605,1,Rising Pune Supergiants,Mumbai Indians,20,2,MS Dhoni,NLTC Perera,JJ Bumrah,0,0,0,0,0,0,0,0,0,MS Dhoni,caught,AT Rayudu
605,2,Mumbai Indians,Rising Pune Supergiants,4,7,PA Patel,RG Sharma,AB Dinda,0,0,0,0,0,0,0,0,0,PA Patel,caught,MS Dhoni
605,2,Mumbai Indians,Rising Pune Supergiants,12,4,AT Rayudu,RG Sharma,R Ashwin,0,0,0,0,0,0,0,0,0,AT Rayudu,caught,AM Rahane
606,1,Royal Challengers Bangalore,Kolkata Knight Riders,2,3,CH Gayle,KL Rahul,M Morkel,0,0,0,0,0,0,0,0,0,CH Gayle,caught,RV Uthappa
606,1,Royal Challengers Bangalore,Kolkata Knight Riders,12,1,KL Rahul,V Kohli,PP Chawla,0,0,0,0,0,0,0,0,0,KL Rahul,caught,YK Pathan
606,1,Royal Challengers Bangalore,Kolkata Knight Riders,17,4,V Kohli,SR Watson,M Morkel,0,0,0,0,0,0,0,0,0,V Kohli,caught,AD Russell
606,1,Royal Challengers Bangalore,Kolkata Knight Riders,20,5,STR Binny,SR Watson,UT Yadav,0,0,0,0,0,0,0,0,0,STR Binny,caught,MK Pandey
606,1,Royal Challengers Bangalore,Kolkata Knight Riders,20,6,SR Watson,VR Aaron,UT Yadav,0,0,0,0,0,0,1,0,1,SR Watson,run out,MK Pandey
606,2,Kolkata Knight Riders,Royal Challengers Bangalore,1,6,RV Uthappa,G Gambhir,STR Binny,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,V Kohli
606,2,Kolkata Knight Riders,Royal Challengers Bangalore,11,1,MK Pandey,YK Pathan,SR Watson,0,0,0,0,0,0,0,0,0,MK Pandey,caught,Sachin Baby
606,2,Kolkata Knight Riders,Royal Challengers Bangalore,18,3,AD Russell,YK Pathan,YS Chahal,0,0,0,0,0,0,0,0,0,AD Russell,caught,STR Binny
607,1,Gujarat Lions,Delhi Daredevils,4,1,DR Smith,AJ Finch,S Nadeem,0,0,0,0,0,0,0,0,0,DR Smith,caught,CH Morris
607,1,Gujarat Lions,Delhi Daredevils,4,7,AJ Finch,SK Raina,S Nadeem,0,0,0,0,0,0,0,0,0,AJ Finch,caught,RR Pant
607,1,Gujarat Lions,Delhi Daredevils,11,6,SK Raina,KD Karthik,A Mishra,0,0,0,0,0,0,0,0,0,SK Raina,stumped,Q de Kock
607,1,Gujarat Lions,Delhi Daredevils,20,6,RA Jadeja,Ishan Kishan,Mohammed Shami,0,0,0,0,0,0,1,0,1,Ishan Kishan,run out,SW Billings
607,2,Delhi Daredevils,Gujarat Lions,14,3,RR Pant,Q de Kock,RA Jadeja,0,0,0,0,0,0,0,0,0,RR Pant,caught,KD Karthik
607,2,Delhi Daredevils,Gujarat Lions,15,5,Q de Kock,SV Samson,S Kaushik,0,0,0,0,0,0,0,0,0,Q de Kock,caught,DR Smith
608,1,Kolkata Knight Riders,Kings XI Punjab,14,3,RV Uthappa,G Gambhir,Sandeep Sharma,0,0,0,0,0,0,0,0,0,G Gambhir,run out,GJ Maxwell
